(0.3879675169709031, 4.9860696576114165e-49)
(-0.14314925251159827, 4.4480547404082526e-49)
(-0.3346605696839466, 3.5909292374784665e-49)
(0.20423316712190906, 5.097020958178636e-49)
(0.25872878865327564, 5.6495480047167486e-49)
(-0.09026600663493231, 5.687504318147404e-49)
(0.07502624076366042, 4.2215206513569106e-49)
(0.47875161460195675, 4.159900974324483e-49)
(-0.2706276733870403, 5.250745769322365e-49)
(-0.3467608406103553, 1.0094234052875026e-47)
(-0.04130578951600423, 7.802988588111274e-49)
(0.034672546615168554, 7.270324540896173e-49)
(0.38858834488513894, 5.414489869726766e-49)
(0.4463968078015248, 4.247966176238594e-49)
(0.4370865452937508, 5.414825740497629e-49)
(-0.10514098559564158, 8.411592219081736e-49)
(-0.33108090044299804, 9.454651646733278e-49)
(0.028338948452642232, 5.4547134304727874e-49)
(-0.3654268798919434, 4.191597259886543e-49)
(0.21909050458033, 3.425894628723499e-49)
(-0.28781308833369385, 4.894038380695853e-49)
(-0.24597081602625914, 1.3054720919603612e-48)
(-0.04939353981918269, 4.3649108249907375e-49)
(0.4739499789879181, 6.139315199401111e-49)
(-0.3290677052027327, 2.6644273772833458e-48)
(0.022137602335209366, 9.272885185913907e-49)
(0.13429081959910938, 8.43356600237075e-49)
(-0.3699875542480271, 4.645288668270991e-49)
(-0.2702212884514558, 7.952694362404062e-49)
(-0.008072844938619626, 3.6934854434846265e-49)
(0.09004044975246016, 3.882507774784184e-49)
(-0.011499173242455217, 1.7212226949623913e-48)
(0.1919959931049474, 3.8208592415325764e-49)
(0.44937454583553377, 1.0308363470400975e-48)
(-0.33872487126292455, 8.429037700717299e-49)
(0.46476969377186933, 1.5471239309283058e-48)
(0.32261058282658706, 3.9859745300476846e-49)
(-0.2387951773414685, 1.7090025613484072e-48)
(0.18832561368452327, 8.063610895397114e-49)
(0.3983491356045444, 5.6684242013856485e-49)
(-0.3497664464276029, 6.018204558235187e-48)
(-0.3439344678834522, 3.780893375649307e-49)
(-0.23845570326853763, 8.778174034245666e-49)
(-0.49539163839362116, 4.8452506218939834e-49)
(-0.017976211764546265, 1.076695552044573e-48)
(0.3437529895347711, 6.382708893107726e-49)
(-0.42443316173224355, 6.1604755275825206e-49)
(-0.2651331658846184, 1.1021273894080087e-48)
(0.4891939177060691, 5.947661422227651e-49)
(-0.39534031854376805, 5.444713391657898e-49)
(0.03448714701069093, 9.705441087490348e-49)
(0.1304341169338484, 7.369721771915877e-49)
(-0.25966827883296006, 4.2733205097956794e-49)
(0.009008936655994716, 8.296048248355341e-49)
(0.09268872738742608, 1.1641106243000246e-48)
(-0.3654834326620537, 1.5425898016575683e-48)
(0.09764021040674344, 1.6561457880290258e-48)
(-0.42542939475604186, 1.8493228307468123e-48)
(0.13439683643963318, 7.48658654636069e-49)
(-0.40032018942633857, 3.5632275872368974e-49)
(-0.09978557701366426, 3.871140272240664e-49)
(0.17849779798209697, 4.3149534346319686e-49)
(0.06642249336518447, 4.713942208169203e-49)
(-0.28329001618144095, 3.7729491271023534e-49)
(0.477871679402876, 9.611905450913127e-49)
(0.4261149023113211, 3.163416216883999e-47)
(0.02034999442467451, 1.2606275189767756e-45)
(0.4785945244443627, 3.570007047075332e-49)
(0.12696348703028085, 3.696575751303679e-49)
(-0.09420125552755258, 7.096448940899961e-49)
(-0.30662107648071757, 3.52012859560145e-49)
(0.09247027821520515, 8.986135668017612e-49)
(0.0997369182523225, 9.172031763415582e-49)
(0.4177025886936695, 3.726446611248327e-49)
(0.41101712384286077, 4.45985043381452e-49)
(-0.34005301173451397, 3.938171736875631e-49)
(0.0825703722557851, 3.513445122701125e-49)
(0.4084757043293561, 7.089870504004445e-48)
(0.04457345807681958, 5.14654049908524e-48)
(0.15092042266778974, 3.697538516165156e-49)
(0.13184286579323867, 3.979530361792709e-49)
(0.13167731117146453, 4.343393382673496e-49)
(-0.1457501401649952, 1.825567950826363e-48)
(-0.23182973694674125, 3.451706749149203e-49)
(0.012827131869246807, 4.746544000054552e-49)
(0.03349128340381264, 6.670047719558172e-49)
(-0.4971416105382088, 1.449156026609368e-48)
(-0.3287887154777044, 5.6469208741927066e-49)
(0.00816669182480313, 4.465311797318527e-49)
(-0.08762484098220852, 9.966289719474513e-49)
(0.46242816547206667, 5.749428311247675e-49)
(-0.18368967656598054, 3.627869872958669e-49)
(-0.36244700814209146, 3.987377113462521e-49)
(-0.1791727144892317, 3.551601446006586e-49)
(-0.07446008813741435, 5.082745328497725e-49)
(0.06630638618731581, 3.538906152099056e-48)
(-0.022377216004433355, 1.617950367754272e-48)
(-0.4386913067465237, 3.663440990817146e-49)
(0.28938168408758513, 4.334289430282511e-49)
(0.23878805528434868, 1.029276544945293e-48)
(0.06498597806332745, 1.6340374202455094e-48)
(-0.1664799056476169, 8.543159593146356e-49)
(0.3664922388902586, 7.210149475722764e-49)
(-0.26943786366423905, 3.5819783185818454e-49)
(-0.33164737582689635, 6.028357970573469e-49)
(0.28733172218699626, 3.5583829732749296e-49)
(-0.20945269929641264, 1.8736755756087384e-48)
(-0.3631825895914418, 6.651025611680438e-49)
(0.43774078250032683, 2.184878518765106e-48)
(0.09552061312743283, 1.6730208698297817e-48)
(0.058618917543847265, 6.4060999934328005e-49)
(0.3726137354777764, 8.701349468178447e-49)
(0.3792552766181669, 4.11577671534529e-49)
(0.12102059964594426, 4.1483337937450666e-49)
(0.4074642669919913, 7.874268728920992e-49)
(0.016116842179489645, 3.727657566544072e-49)
(0.1841853085893314, 1.7873233799227986e-48)
(0.28634300030829324, 3.682346268519718e-49)
(-0.22242371546190307, 7.447771438311927e-49)
(0.043795633322683616, 7.996606291327747e-49)
(0.4758046123187761, 6.978348766700945e-48)
(0.18667883699546653, 7.45140166186404e-49)
(0.15811692800143462, 9.810601633335357e-49)
(-0.4088121274551677, 5.9953638172010265e-49)
(0.41376128482603897, 2.415650175636813e-47)
(0.04617842421954166, 4.0731627898729715e-49)
(0.05711041612211702, 2.0526939278409738e-47)
(0.15003763337923817, 4.488873425412762e-49)
(-0.2782223490293204, 1.079126126117261e-48)
(-0.27137081583171824, 2.5713633918823004e-48)
(0.2107484168972536, 7.798144566324736e-49)
(-0.12257636388446455, 1.1150702347349064e-48)
(0.18554231926490422, 3.662522702542303e-49)
(0.4711272502856002, 1.5811169530617135e-48)
(-0.23981074330721733, 9.214681816263304e-49)
(-0.2593988644767103, 5.241642515346655e-49)
(0.43641533326886617, 5.656869871835696e-49)
(-0.1717326233436849, 4.047961835666247e-49)
(0.10399931492286782, 7.46753976777393e-49)
(-0.27156482401024085, 1.1508773493734721e-48)
(-0.46940401863000397, 8.596553267795367e-49)
(0.04724679860884465, 4.176346081387123e-49)
(0.34723088290353743, 6.412847487073429e-49)
(-0.052432529875919905, 2.692344397939383e-48)
(-0.18397241274152284, 6.40668068021795e-49)
(-0.1565043450192584, 3.664346942421659e-49)
(-0.470310721659366, 4.835983250881837e-49)
(0.4911890664374252, 3.582387839605077e-49)
(-0.014269654399935402, 3.8808463588207515e-49)
(0.059398053666483715, 4.626991164723796e-49)
(0.4387811975527993, 7.657310574313149e-49)
(0.4791347967518736, 8.579551221806079e-48)
(-0.4973493750651037, 4.1537777242736794e-49)
(-0.37222071593077183, 1.2867488187730031e-48)
(0.323026340335298, 5.2891802047515886e-49)
(-0.13917805594753185, 2.8698457064577173e-48)
(0.3762831370922698, 1.1134140638532244e-48)
(-0.4388838120425376, 3.996423376655838e-49)
(-0.23177754345651344, 4.07296636440082e-49)
(-0.05339904430346799, 1.5187489050798633e-46)
(0.04950263317904343, 4.931866714246004e-49)
(-0.1918106023765453, 3.7126423739399104e-49)
(0.014220377563159735, 5.041918016154435e-49)
(0.3807018527163936, 9.244793291175613e-49)
(-0.4161533987018418, 1.852564699791324e-48)
(-0.073742462278966, 4.1703459548422924e-49)
(0.39440464372069856, 1.6541353538411178e-48)
(0.3754776824376814, 1.9463017583207516e-46)
(-0.3126580287120763, 2.1975218676861262e-48)
(0.22472468920972857, 6.493591188944408e-49)
(0.1920530308136778, 2.321245941328119e-48)
(-0.388602494013217, 5.603762652005647e-49)
(0.4080183716881029, 1.682586552950442e-48)
(-0.471936663613462, 1.0433193184149834e-48)
(0.016362671954025833, 4.3258210471650665e-49)
(0.07866961925930911, 5.2068846965044144e-49)
(-0.11911493608161422, 1.1547207785259447e-48)
(-0.17553444107855617, 4.516848913820254e-48)
(-0.29403390367195426, 1.2803995153213012e-48)
(0.12891649857825724, 5.725271546268003e-49)
(-0.38543300600033675, 4.952131976884774e-49)
(0.3293746519982299, 1.8345757799808984e-48)
(-0.09821738465512725, 5.125253328428175e-49)
(-0.4008125729542044, 5.018019938851508e-49)
(-0.14375930646690252, 4.377558891226243e-49)
(0.38532608300544946, 4.400490678132987e-49)
(0.01416806146581859, 5.009546772031638e-49)
(0.05867902378893237, 1.0307867017531616e-46)
(-0.15273184820986274, 6.32232436773964e-48)
(-0.39948251195614143, 1.1187364770196842e-48)
(-0.17329241857340394, 7.549925729976765e-49)
(-0.19474124046707775, 3.810351782405461e-49)
(0.3116147323777219, 1.3285398824809587e-48)
(0.15886535968831597, 3.867375763638163e-49)
(0.1636231118025629, 5.114583659664413e-49)
(0.024706545872416785, 1.138844314769828e-48)
(-0.49952765232110946, 1.5594355115908062e-48)
(0.05136454218034606, 5.218767374615626e-49)
(0.3252527532154758, 1.065249529324228e-48)
(-0.17287057361967764, 5.35538617156026e-49)
(0.08044726442475605, 2.5654650610056574e-47)
(-0.18871077524118146, 6.02201025104757e-49)
(0.21944743513197423, 4.734527966165325e-49)
(-0.4505869504734049, 3.857965564612665e-49)
(0.003727316981489704, 5.909903204465161e-48)
(0.2767234196898907, 3.988969651954667e-49)
(0.45976510064163456, 6.235398871397267e-49)
(0.06404079040943388, 6.636013200971393e-49)
(0.38675036504183496, 5.4088038948470986e-49)
(0.4004107977645476, 3.924197975024479e-47)
(0.25269249598985033, 4.117550859509398e-49)
(0.32717957290316113, 6.895950498758726e-49)
(-0.327534719261575, 1.2270168830337654e-48)
(-0.49312072578169425, 6.698095274804903e-49)
(-0.26003460684578183, 4.5077973757784484e-49)
(-0.040731822422135994, 6.855849287369947e-49)
(-0.06711821607921674, 5.4164983890931795e-48)
(0.16261966041677914, 9.011719416329376e-49)
(-0.4755409347653745, 3.690306219533872e-49)
(-0.17032500327580438, 4.233408435632434e-48)
(-0.34106697891427595, 5.017539670114305e-49)
(0.11612760067653011, 4.892895677418983e-49)
(-0.4625461564684232, 3.665918633113953e-49)
(-0.3680356365445826, 3.4534345122442745e-49)
(-0.4689800801107964, 3.517121948339701e-49)
(0.47241942086456806, 6.735255823849317e-49)
(-0.23995515378464027, 1.4242079237012604e-48)
(-0.19355613445534484, 9.128192214307331e-49)
(-0.23005120339393403, 6.744123785827517e-48)
(0.17010726859140268, 1.2440158572830849e-48)
(0.3208065986629124, 3.873060474072712e-49)
(-0.32054162871152336, 4.817475710962771e-49)
(0.05069777101653012, 2.395206874759895e-48)
(0.2750073614470585, 6.262731766911954e-49)
(-0.02335621053374857, 1.9102745516524585e-48)
(0.00886206578855668, 4.13610499522738e-47)
(-0.06311946957199642, 7.407235126600206e-49)
(0.18340181304436995, 3.991592674142871e-49)
(-0.46089928501899513, 3.967918047615165e-49)
(0.36958755339894306, 4.9997818731362e-49)
(-0.3230006441525819, 8.626362001447963e-49)
(-0.15719884197368728, 2.877678111252872e-48)
(-0.03581465157773268, 1.29438789407284e-48)
(0.2860892636806303, 3.122279942999045e-47)
(-0.15994761058652135, 7.070165925804394e-49)
(0.39930310052785456, 3.9387470436337726e-48)
(0.4436465230289957, 7.962968931853937e-49)
(0.07754297166174691, 7.662359233192241e-49)
(-0.4206320477393703, 5.840588827884602e-49)
(0.16294390815632037, 1.0723955878502874e-48)
(-0.49295027684716486, 1.4887206685204635e-47)
(0.11243235617220297, 4.8036849572688667e-48)
(-0.47720996483100586, 7.56147531722135e-49)
(0.3036227820873033, 6.600148796607642e-49)
(-0.18844468743467374, 9.529660224441036e-49)
(-0.06877863425353016, 1.2272066673995579e-48)
(0.13740414722770686, 1.3858079815740487e-48)
(0.3143756443138465, 1.8468726352535743e-48)
(-0.3177259060627211, 5.704202769506814e-49)
(-0.17851936400248986, 5.829135608629396e-47)
(0.33210750065827993, 4.50625803957441e-49)
(0.06438675488205974, 5.148578281885865e-49)
(0.23416405235988014, 6.895730494094046e-49)
(-0.08335321640473553, 6.5562364396763266e-49)
(-0.2790541855295662, 3.760489860171404e-49)
(-0.07099397737493524, 5.660465456925037e-48)
(0.4209460096186943, 3.8087101187803065e-49)
(0.17377233143083406, 1.2698649464850278e-48)
(0.20986845545247795, 3.990985112744024e-49)
(0.3179065163264081, 3.659527965909712e-49)
(-0.22040371731904715, 5.775781810685461e-49)
(-0.06265642415361528, 5.366771957686091e-49)
(-0.3081605000860889, 7.123663640328462e-49)
(0.2452291434353081, 5.3270503148640516e-49)
(0.3050226044729126, 1.2207466054471163e-48)
(0.2120242028933464, 7.155904470026972e-49)
(0.4673109230633005, 1.0244987759256276e-48)
(0.4584794465630424, 3.7880987801135575e-49)
(-0.11840707403202387, 5.4669587723448446e-49)
(0.27269988524143723, 1.9519925131547398e-48)
(-0.3154274908750199, 7.199144024347601e-49)
(-0.059832939206290466, 9.381528296436045e-49)
(0.43385793492035657, 3.636654270495294e-49)
